Ticker,Company_Name,Last_Date,Last_Price,Stage,Signal,Detect_Date,Detect_Price,Note,RSI,Prev_RSI,RSI_Diff,RSI_Drop_Pct,RSI_30_Gap,RSI_20_Gap,RSI_Depth,RSI_Down_Streak,RSI_Rank20,RSI_Zscore20,BB_Days,BB_Close_Ratio,BB_Touch_Ratio,Lower_Shadow_Pct,Volume_Ratio,Exit_Dist_Pct,Upper_Shadow_Pct,Filter_Group_Id,Filter_Target_Index,Filter_Relative_Pos,Group_Id,Buy_Price,Target_Profit
2413.T,M3 INC,2026-06-08,1613.5,3rd_VALLEY,BID,2026-05-07,1414.5,Valley+LowerShadow+VolumeSpike,24.51,32.39,-7.88,-24.33,5.49,4.51,7.88,2.0,5.0,-1.43,2.0,1.0,1.0,5.44,3.72,-2.14,2.18,36,2054,0,36,1414.5,1
2413.T,M3 INC,2026-06-08,1613.5,3rd_VALLEY,BID,2026-05-12,1335.0,Valley+LowerShadow+VolumeSpike,28.95,37.16,-8.21,-22.09,1.05,8.95,8.21,3.0,5.0,-2.03,2.0,1.0,1.0,2.93,1.38,-2.14,2.18,37,2058,0,37,1335.0,1
2585.T,LIFEDRINK CO INC,2026-06-08,1700.0,3rd_VALLEY,BID,2026-02-16,1224.0,Valley+LowerShadow+VolumeSpike,28.95,31.13,-2.18,-6.99,1.05,8.95,2.18,3.0,35.0,0.03,11.0,0.0,0.18,8.8,3.42,1.98,3.23,39,2438,0,39,1224.0,1
2678.T,ASKUL CORP,2026-06-05,1188.0,3rd_VALLEY,BID,2026-03-04,1196.0,Valley+LowerShadow+VolumeSpike,28.3,32.53,-4.23,-12.99,1.7,8.3,4.23,2.0,5.0,-2.06,2.0,1.0,1.0,2.57,1.72,-2.4,4.34,45,2598,0,45,1196.0,0
2700.T,KITOKU SHINRYO CO,2026-06-05,1808.0,3rd_VALLEY,BID,2026-02-18,2068.0,Valley+LowerShadow+VolumeSpike,22.77,37.14,-14.37,-38.69,7.23,2.77,14.37,1.0,5.9,-1.05,25.0,0.0,0.0,2.27,1.73,-2.74,3.36,46,2654,0,46,2068.0,1
2778.T,PALEMO HOLDINGS CO LTD,2026-06-05,111.0,3rd_VALLEY,BID,2026-03-04,143.0,Valley+LowerShadow+VolumeSpike,27.68,31.17,-3.5,-11.22,2.32,7.68,3.5,1.0,6.2,-0.71,40.0,0.0,0.0,3.62,1.63,-4.42,3.25,48,2842,0,48,143.0,0
2981.T,LANDIX INC,2026-06-08,1921.0,3rd_VALLEY,BID,2026-01-22,2300.0,Valley+LowerShadow+VolumeSpike,27.68,31.09,-3.41,-10.96,2.32,7.68,3.41,4.0,5.3,-1.16,10.0,0.0,0.0,3.37,1.38,-3.77,2.67,55,3358,0,55,2300.0,0
2999.T,HOME POSITION CO LTD,2026-06-08,561.0,3rd_VALLEY,BID,2026-03-04,451.0,Valley+LowerShadow+VolumeSpike,28.97,39.89,-10.92,-27.38,1.03,8.97,10.92,1.0,5.0,-2.07,2.0,1.0,1.0,2.5,1.33,-0.39,3.67,58,3422,0,58,451.0,1
3133.T,KAIHAN CO LTD,2026-06-05,133.0,3rd_VALLEY,BID,2026-02-18,360.0,Valley+LowerShadow+VolumeSpike,27.12,34.39,-7.28,-21.15,2.88,7.12,7.28,3.0,5.0,-2.76,2.0,1.0,1.0,5.26,1.44,-1.56,4.06,76,3866,0,76,360.0,1
3135.T,MARKETENTERPRISE CO LTD,2026-06-05,1283.0,3rd_VALLEY,BID,2026-02-17,1004.0,Valley+LowerShadow+VolumeSpike,29.75,32.54,-2.78,-8.55,0.25,9.75,2.78,5.0,5.0,-0.81,4.0,0.0,0.0,6.81,7.01,-0.83,2.36,77,3898,0,77,1004.0,1
3223.T,SLD ENTERTAINMENT INC,2026-06-05,905.0,3rd_VALLEY,BID,2026-03-09,891.0,Valley+LowerShadow+VolumeSpike,27.72,30.09,-2.37,-7.89,2.28,7.72,2.37,4.0,5.0,-1.4,14.0,0.0,0.0,2.53,1.39,-4.74,2.15,83,4214,0,83,891.0,1
3326.T,RUNSYSTEM CO LTD,2026-06-05,578.0,3rd_VALLEY,BID,2026-04-02,696.0,Valley+LowerShadow+VolumeSpike,22.36,70.92,-48.56,-68.47,7.64,2.36,48.56,1.0,5.0,-3.75,2.0,1.0,1.0,3.73,1.31,-4.01,2.0,93,4498,0,93,696.0,0
3391.T,TSURUHA HOLDINGS INC,2026-06-05,1986.5,3rd_VALLEY,BID,2026-03-09,2272.0,Valley+LowerShadow+VolumeSpike,29.11,47.11,-18.0,-38.21,0.89,9.11,18.0,2.0,5.0,-2.04,3.0,0.0,0.0,4.51,1.37,-2.14,2.98,95,4614,0,95,2272.0,0
